Date,Demand_Electronic_accessories,Demand_Fashion_accessories,Year,Month,Day,Weekday,Week,Index
2021-12-28,8744.630682720677,4711.149582278467,2021,12,28,1,52,363
2021-12-29,9539.123264839896,4877.258880073407,2021,12,29,2,52,364
2021-12-30,8699.773107261106,4872.805875013047,2021,12,30,3,52,365
2021-12-31,5422.156880228686,3209.617885972395,2021,12,31,4,52,366
2022-01-01,12566.047628556344,3354.20496001951,2022,1,1,5,52,367
2022-01-02,14459.91289426038,6272.683857415266,2022,1,2,6,52,368
2022-01-03,10179.930499727461,1978.8249194244404,2022,1,3,0,1,369
2022-01-04,12366.110593007757,4115.810026635726,2022,1,4,1,1,370
2022-01-05,14864.999911134364,4115.810026635726,2022,1,5,2,1,371
2022-01-06,16828.592857606738,3041.3736751217953,2022,1,6,3,1,372
2022-01-07,18290.56019525954,4473.40958828474,2022,1,7,4,1,373
2022-01-08,20227.37068227678,5616.453088331527,2022,1,8,5,1,374
2022-01-09,23870.120925740765,5356.214425057722,2022,1,9,6,1,375
2022-01-10,11583.459848755863,3012.1194700694064,2022,1,10,0,2,376
2022-01-11,13147.385028372837,4445.320290708498,2022,1,11,1,2,377
2022-01-12,13555.005062988279,5115.32020528667,2022,1,12,2,2,378
2022-01-13,15120.23742339124,5015.130408522522,2022,1,13,3,2,379
2022-01-14,10514.002527569513,5586.931541553181,2022,1,14,4,2,380
2022-01-15,11270.26260093503,5649.956775222548,2022,1,15,5,2,381
2022-01-16,13902.858455479287,6684.381012504344,2022,1,16,6,2,382
2022-01-17,8182.277427796442,4817.8536653625815,2022,1,17,0,3,383
2022-01-18,8834.64638663213,6128.482572216054,2022,1,18,1,3,384
2022-01-19,12407.493777385165,5954.181668636911,2022,1,19,2,3,385
2022-01-20,11556.747331304954,5853.991871872762,2022,1,20,3,3,386
2022-01-21,10847.877151367973,6978.431970361631,2022,1,21,4,3,387
2022-01-22,11450.192141451696,6800.512585440066,2022,1,22,5,3,388
2022-01-23,13631.87948245499,7172.772704102633,2022,1,23,6,3,389
2022-01-24,11079.872897176827,4608.3744692856,2022,1,24,0,4,390
2022-01-25,13068.444240389827,5420.130894002984,2022,1,25,1,4,391
2022-01-26,13080.043774637417,6047.476227978706,2022,1,26,2,4,392
2022-01-27,12528.924413916297,5944.7671879083455,2022,1,27,3,4,393
2022-01-28,11149.900114942999,6572.6178593253535,2022,1,28,4,4,394
2022-01-29,10988.800840673457,6301.919975243383,2022,1,29,5,4,395
2022-01-30,12433.220970279037,6107.5413516322615,2022,1,30,6,4,396
2022-01-31,7470.756765279092,3757.565161362592,2022,1,31,0,5,397
2022-02-01,12018.050468523636,3799.1759507271527,2022,2,1,1,5,398
2022-02-02,12069.953629732316,3799.1759507271527,2022,2,2,2,5,399
2022-02-03,14280.527897802469,3698.986153963004,2022,2,3,3,5,400
2022-02-04,15211.50856483086,4670.999322374373,2022,2,4,4,5,401
2022-02-05,17185.030526838378,4734.0245560437415,2022,2,5,5,5,402
2022-02-06,22056.81563965255,6432.369551805983,2022,2,6,6,5,403
2022-02-07,13966.87563431874,2181.447220715516,2022,2,7,0,6,404
2022-02-08,15183.228280986363,5081.816518395651,2022,2,8,1,6,405
2022-02-09,17045.75802557592,4820.236373451219,2022,2,9,2,6,406
2022-02-10,15041.924256247921,4732.2807046079715,2022,2,10,3,6,407
2022-02-11,14721.49406552858,4916.931626975007,2022,2,11,4,6,408
2022-02-12,15556.067306037414,5649.956775222548,2022,2,12,5,6,409
2022-02-13,19400.27211770573,5651.298256893171,2022,2,13,6,6,410
2022-02-14,11138.343168808387,3581.9170697948252,2022,2,14,0,7,411
2022-02-15,10832.840172612836,5115.32020528667,2022,2,15,1,7,412
2022-02-16,9456.303193093328,6351.256800854432,2022,2,16,2,7,413
2022-02-17,9329.889624893456,6251.067004090283,2022,2,17,3,7,414
2022-02-18,10079.721870079027,6600.093908482568,2022,2,18,4,7,415
2022-02-19,12899.627103272605,6361.49406142849,2022,2,19,5,7,416
2022-02-20,14218.545858277632,6287.305880286822,2022,2,20,6,7,417
2022-02-21,9995.760581019813,4534.356183233575,2022,2,21,0,8,418
2022-02-22,9690.257584824258,6384.661420580924,2022,2,22,1,8,419
2022-02-23,11260.95530621374,6970.280162382848,2022,2,23,2,8,420
2022-02-24,11778.056134942097,6969.843185796203,2022,2,24,3,8,421
2022-02-25,13751.70028363131,5840.1681582890415,2022,2,25,4,8,422
