Date,Demand_Electronic_accessories,Demand_Fashion_accessories,Year,Month,Day,Weekday,Week,Index
2021-12-28,8744,4711,2021,12,28,1,52,363
2021-12-29,9539,4877,2021,12,29,2,52,364
2021-12-30,8699,4872,2021,12,30,3,52,365
2021-12-31,5422,3480,2021,12,31,4,52,366
2022-01-01,7739,2636,2022,1,1,5,52,367
2022-01-02,10115,5479,2022,1,2,6,52,368
2022-01-03,10464,1176,2022,1,3,0,1,369
2022-01-04,11963,3229,2022,1,4,1,1,370
2022-01-05,14125,3229,2022,1,5,2,1,371
2022-01-06,15476,2280,2022,1,6,3,1,372
2022-01-07,16938,3521,2022,1,7,4,1,373
2022-01-08,18424,4646,2022,1,8,5,1,374
2022-01-09,21563,4310,2022,1,9,6,1,375
2022-01-10,11725,2267,2022,1,10,0,2,376
2022-01-11,12602,3558,2022,1,11,1,2,377
2022-01-12,13363,4228,2022,1,12,2,2,378
2022-01-13,14315,4128,2022,1,13,3,2,379
2022-01-14,11433,4354,2022,1,14,4,2,380
2022-01-15,11739,4417,2022,1,15,5,2,381
2022-01-16,14575,5425,2022,1,16,6,2,382
2022-01-17,9809,3774,2022,1,17,0,3,383
2022-01-18,10461,5341,2022,1,18,1,3,384
2022-01-19,15023,5007,2022,1,19,2,3,385
2022-01-20,13955,4907,2022,1,20,3,3,386
2022-01-21,13246,6104,2022,1,21,4,3,387
2022-01-22,13397,5926,2022,1,22,5,3,388
2022-01-23,15429,6298,2022,1,23,6,3,389
2022-01-24,13478,3949,2022,1,24,0,4,390
2022-01-25,14975,4613,2022,1,25,1,4,391
2022-01-26,15204,5422,2022,1,26,2,4,392
2022-01-27,14436,5319,2022,1,27,3,4,393
2022-01-28,12687,5698,2022,1,28,4,4,394
2022-01-29,12075,5428,2022,1,29,5,4,395
2022-01-30,13338,5233,2022,1,30,6,4,396
2022-01-31,9762,3492,2022,1,31,0,5,397
2022-02-01,10536,2912,2022,2,1,1,5,398
2022-02-02,11330,2912,2022,2,2,2,5,399
2022-02-03,12928,2812,2022,2,3,3,5,400
2022-02-04,13859,3535,2022,2,4,4,5,401
2022-02-05,15382,3598,2022,2,5,5,5,402
2022-02-06,19750,5346,2022,2,6,6,5,403
2022-02-07,14251,1562,2022,2,7,0,6,404
2022-02-08,14780,4361,2022,2,8,1,6,405
2022-02-09,16306,4099,2022,2,9,2,6,406
2022-02-10,13547,3903,2022,2,10,3,6,407
2022-02-11,13227,3780,2022,2,11,4,6,408
2022-02-12,14300,4514,2022,2,12,5,6,409
2022-02-13,17641,4439,2022,2,13,6,6,410
2022-02-14,12344,2682,2022,2,14,0,7,411
2022-02-15,12039,4132,2022,2,15,1,7,412
2022-02-16,11300,5342,2022,2,16,2,7,413
2022-02-17,10956,5241,2022,2,17,3,7,414
2022-02-18,11706,5563,2022,2,18,4,7,415
2022-02-19,14847,5165,2022,2,19,5,7,416
2022-02-20,16016,5090,2022,2,20,6,7,417
2022-02-21,12394,3875,2022,2,21,0,8,418
2022-02-22,12088,5759,2022,2,22,1,8,419
2022-02-23,13877,6345,2022,2,23,2,8,420
2022-02-24,14176,6345,2022,2,24,3,8,421
2022-02-25,15658,4783,2022,2,25,4,8,422
